datid,datname,pid,leader_pid,usesysid,usename,application_name,client_addr,client_hostname,client_port,backend_start,xact_start,query_start,state_change,wait_event_type,wait_event,state,backend_xid,backend_xmin,query_id,query,backend_type
5,postgres,249941,,10,yRUgsn5PtxHSMPiV,"",10.0.4.4,,37048,2026-05-01 11:17:05.587444+00,,2026-05-01 11:19:10.364115+00,2026-05-01 11:19:10.364136+00,Client,ClientRead,idle,,,,"SELECT ""public"".""Typebot"".""id"", ""public"".""Typebot"".""enabled"", ""public"".""Typebot"".""description"", ""public"".""Typebot"".""url"", ""public"".""Typebot"".""typebot"", ""public"".""Typebot"".""expire"", ""public"".""Typebot"".""keywordFinish"", ""public"".""Typebot"".""delayMessage"", ""public"".""Typebot"".""unknownMessage"", ""public"".""Typebot"".""listeningFromMe"", ""public"".""Typebot"".""stopBotFromMe"", ""public"".""Typebot"".""keepOpen"", ""public"".""Typebot"".""debounceTime"", ""public"".""Typebot"".""createdAt"", ""public"".""Typebot"".""updatedAt"", ""public"".""Typebot"".""ignoreJids"", ""public"".""Typebot"".""triggerType""::text, ""public"".""Typebot"".""triggerOperator""::text, ""public"".""Typebot"".""triggerValue"", ""public"".""Typebot"".""splitMessages"", ""public"".""Typebot"".""timePerChar"", ""public"".""Typebot"".""instanceId"" FROM ""public"".""Typebot"" WHERE (""public"".""Typebot"".""enabled"" = $1 AND ""public"".""Typebot"".""triggerType"" = CAST($2::text AS ""public"".""TriggerType"") AND ""public"".""Typebot"".""triggerOperator"" = CAST($3::text AS ""public"".""TriggerOperator"") AND ""public"".""Typebot"".""instanceId"" = $4) O",client backend
5,postgres,249887,,10,yRUgsn5PtxHSMPiV,"",10.0.4.4,,46430,2026-05-01 11:16:30.593413+00,,2026-05-01 11:19:10.364827+00,2026-05-01 11:19:10.364889+00,Client,ClientRead,idle,,,,"SELECT ""public"".""FlowiseSetting"".""id"", ""public"".""FlowiseSetting"".""expire"", ""public"".""FlowiseSetting"".""keywordFinish"", ""public"".""FlowiseSetting"".""delayMessage"", ""public"".""FlowiseSetting"".""unknownMessage"", ""public"".""FlowiseSetting"".""listeningFromMe"", ""public"".""FlowiseSetting"".""stopBotFromMe"", ""public"".""FlowiseSetting"".""keepOpen"", ""public"".""FlowiseSetting"".""debounceTime"", ""public"".""FlowiseSetting"".""ignoreJids"", ""public"".""FlowiseSetting"".""splitMessages"", ""public"".""FlowiseSetting"".""timePerChar"", ""public"".""FlowiseSetting"".""createdAt"", ""public"".""FlowiseSetting"".""updatedAt"", ""public"".""FlowiseSetting"".""flowiseIdFallback"", ""public"".""FlowiseSetting"".""instanceId"" FROM ""public"".""FlowiseSetting"" WHERE ""public"".""FlowiseSetting"".""instanceId"" = $1 LIMIT $2 OFFSET $3",client backend
5,postgres,249888,,10,yRUgsn5PtxHSMPiV,"",10.0.4.4,,46434,2026-05-01 11:16:30.597635+00,,2026-05-01 11:19:10.914795+00,2026-05-01 11:19:10.91489+00,Client,ClientRead,idle,,,,"SELECT ""public"".""Webhook"".""id"", ""public"".""Webhook"".""url"", ""public"".""Webhook"".""headers"", ""public"".""Webhook"".""enabled"", ""public"".""Webhook"".""events"", ""public"".""Webhook"".""webhookByEvents"", ""public"".""Webhook"".""webhookBase64"", ""public"".""Webhook"".""createdAt"", ""public"".""Webhook"".""updatedAt"", ""public"".""Webhook"".""instanceId"" FROM ""public"".""Webhook"" WHERE (""public"".""Webhook"".""instanceId"" = $1 AND 1=1) LIMIT $2 OFFSET $3",client backend
5,postgres,249886,,10,yRUgsn5PtxHSMPiV,"",10.0.4.4,,46422,2026-05-01 11:16:30.529382+00,,2026-05-01 11:19:09.129577+00,2026-05-01 11:19:09.129623+00,Client,ClientRead,idle,,,,"SELECT ""public"".""Typebot"".""id"", ""public"".""Typebot"".""enabled"", ""public"".""Typebot"".""description"", ""public"".""Typebot"".""url"", ""public"".""Typebot"".""typebot"", ""public"".""Typebot"".""expire"", ""public"".""Typebot"".""keywordFinish"", ""public"".""Typebot"".""delayMessage"", ""public"".""Typebot"".""unknownMessage"", ""public"".""Typebot"".""listeningFromMe"", ""public"".""Typebot"".""stopBotFromMe"", ""public"".""Typebot"".""keepOpen"", ""public"".""Typebot"".""debounceTime"", ""public"".""Typebot"".""createdAt"", ""public"".""Typebot"".""updatedAt"", ""public"".""Typebot"".""ignoreJids"", ""public"".""Typebot"".""triggerType""::text, ""public"".""Typebot"".""triggerOperator""::text, ""public"".""Typebot"".""triggerValue"", ""public"".""Typebot"".""splitMessages"", ""public"".""Typebot"".""timePerChar"", ""public"".""Typebot"".""instanceId"" FROM ""public"".""Typebot"" WHERE (""public"".""Typebot"".""enabled"" = $1 AND ""public"".""Typebot"".""triggerType"" = CAST($2::text AS ""public"".""TriggerType"") AND ""public"".""Typebot"".""instanceId"" = $3) OFFSET $4",client backend
5,postgres,250014,,10,yRUgsn5PtxHSMPiV,"",10.0.4.4,,33138,2026-05-01 11:17:56.653856+00,,2026-05-01 11:19:10.920887+00,2026-05-01 11:19:10.921674+00,Client,ClientRead,idle,,,,"UPDATE ""public"".""Chat"" SET ""unreadMessages"" = $1, ""updatedAt"" = $2 WHERE (""public"".""Chat"".""id"" = $3 AND 1=1) RETURNING ""public"".""Chat"".""id"", ""public"".""Chat"".""remoteJid"", ""public"".""Chat"".""name"", ""public"".""Chat"".""labels"", ""public"".""Chat"".""createdAt"", ""public"".""Chat"".""updatedAt"", ""public"".""Chat"".""instanceId"", ""public"".""Chat"".""unreadMessages""",client backend
5,postgres,249889,,10,yRUgsn5PtxHSMPiV,"",10.0.4.4,,46438,2026-05-01 11:16:30.603336+00,,2026-05-01 11:19:10.347896+00,2026-05-01 11:19:10.347929+00,Client,ClientRead,idle,,,,"SELECT ""public"".""Flowise"".""id"", ""public"".""Flowise"".""enabled"", ""public"".""Flowise"".""description"", ""public"".""Flowise"".""apiUrl"", ""public"".""Flowise"".""apiKey"", ""public"".""Flowise"".""expire"", ""public"".""Flowise"".""keywordFinish"", ""public"".""Flowise"".""delayMessage"", ""public"".""Flowise"".""unknownMessage"", ""public"".""Flowise"".""listeningFromMe"", ""public"".""Flowise"".""stopBotFromMe"", ""public"".""Flowise"".""keepOpen"", ""public"".""Flowise"".""debounceTime"", ""public"".""Flowise"".""ignoreJids"", ""public"".""Flowise"".""splitMessages"", ""public"".""Flowise"".""timePerChar"", ""public"".""Flowise"".""triggerType""::text, ""public"".""Flowise"".""triggerOperator""::text, ""public"".""Flowise"".""triggerValue"", ""public"".""Flowise"".""createdAt"", ""public"".""Flowise"".""updatedAt"", ""public"".""Flowise"".""instanceId"" FROM ""public"".""Flowise"" WHERE (""public"".""Flowise"".""enabled"" = $1 AND ""public"".""Flowise"".""triggerType"" = CAST($2::text AS ""public"".""TriggerType"") AND ""public"".""Flowise"".""triggerOperator"" = CAST($3::text AS ""public"".""TriggerOperator"") AND ""public"".""Flowise"".""triggerValue"" = $",client backend
5,postgres,249890,,10,yRUgsn5PtxHSMPiV,"",10.0.4.4,,46454,2026-05-01 11:16:30.604339+00,,2026-05-01 11:19:10.368376+00,2026-05-01 11:19:10.368426+00,Client,ClientRead,idle,,,,"SELECT ""public"".""DifySetting"".""id"", ""public"".""DifySetting"".""expire"", ""public"".""DifySetting"".""keywordFinish"", ""public"".""DifySetting"".""delayMessage"", ""public"".""DifySetting"".""unknownMessage"", ""public"".""DifySetting"".""listeningFromMe"", ""public"".""DifySetting"".""stopBotFromMe"", ""public"".""DifySetting"".""keepOpen"", ""public"".""DifySetting"".""debounceTime"", ""public"".""DifySetting"".""ignoreJids"", ""public"".""DifySetting"".""splitMessages"", ""public"".""DifySetting"".""timePerChar"", ""public"".""DifySetting"".""createdAt"", ""public"".""DifySetting"".""updatedAt"", ""public"".""DifySetting"".""difyIdFallback"", ""public"".""DifySetting"".""instanceId"" FROM ""public"".""DifySetting"" WHERE ""public"".""DifySetting"".""instanceId"" = $1 LIMIT $2 OFFSET $3",client backend
5,postgres,250013,,10,yRUgsn5PtxHSMPiV,"",10.0.4.4,,51606,2026-05-01 11:17:53.465899+00,,2026-05-01 11:19:10.913795+00,2026-05-01 11:19:10.914636+00,Client,ClientRead,idle,,,,"INSERT INTO ""public"".""Contact"" (""id"",""remoteJid"",""profilePicUrl"",""createdAt"",""updatedAt"",""instanceId"") VALUES ($1,$2,$3,$4,$5,$6) ON CONFLICT (""remoteJid"",""instanceId"") DO UPDATE SET ""remoteJid"" = $7, ""profilePicUrl"" = $8, ""instanceId"" = $9, ""updatedAt"" = $10 WHERE ((""public"".""Contact"".""remoteJid"" = $11 AND ""public"".""Contact"".""instanceId"" = $12) AND 1=1) RETURNING ""public"".""Contact"".""id"", ""public"".""Contact"".""remoteJid"", ""public"".""Contact"".""pushName"", ""public"".""Contact"".""profilePicUrl"", ""public"".""Contact"".""createdAt"", ""public"".""Contact"".""updatedAt"", ""public"".""Contact"".""instanceId""",client backend
5,postgres,249949,,10,yRUgsn5PtxHSMPiV,"",10.0.4.4,,37064,2026-05-01 11:17:08.546922+00,,2026-05-01 11:19:10.347965+00,2026-05-01 11:19:10.347981+00,Client,ClientRead,idle,,,,"SELECT ""public"".""Dify"".""id"", ""public"".""Dify"".""enabled"", ""public"".""Dify"".""description"", ""public"".""Dify"".""botType""::text, ""public"".""Dify"".""apiUrl"", ""public"".""Dify"".""apiKey"", ""public"".""Dify"".""expire"", ""public"".""Dify"".""keywordFinish"", ""public"".""Dify"".""delayMessage"", ""public"".""Dify"".""unknownMessage"", ""public"".""Dify"".""listeningFromMe"", ""public"".""Dify"".""stopBotFromMe"", ""public"".""Dify"".""keepOpen"", ""public"".""Dify"".""debounceTime"", ""public"".""Dify"".""ignoreJids"", ""public"".""Dify"".""splitMessages"", ""public"".""Dify"".""timePerChar"", ""public"".""Dify"".""triggerType""::text, ""public"".""Dify"".""triggerOperator""::text, ""public"".""Dify"".""triggerValue"", ""public"".""Dify"".""createdAt"", ""public"".""Dify"".""updatedAt"", ""public"".""Dify"".""instanceId"" FROM ""public"".""Dify"" WHERE (""public"".""Dify"".""enabled"" = $1 AND ""public"".""Dify"".""triggerType"" = CAST($2::text AS ""public"".""TriggerType"") AND ""public"".""Dify"".""triggerOperator"" = CAST($3::text AS ""public"".""TriggerOperator"") AND ""public"".""Dify"".""triggerValue"" = $4 AND ""public"".""Dify"".""instanceId"" = $5) LIMIT $",client backend
5,postgres,268766,,10,yRUgsn5PtxHSMPiV,psql,::1,,48270,2026-05-01 15:01:26.380425+00,2026-05-01 15:01:26.382691+00,2026-05-01 15:01:26.382691+00,2026-05-01 15:01:26.382692+00,,,active,,590210,,COPY (SELECT * FROM pg_stat_activity WHERE datname='postgres') TO STDOUT WITH CSV HEADER,client backend
